frame_number,timestamp,faces_count,emotions,activities,anomaly_count,anomaly_types
618,20.6,1,angry,,1,elemento_grafico
620,20.666666666666668,1,sad,gesticulando,2,"careta_exagerada, elemento_grafico"
622,20.733333333333334,1,sad,sentado,2,"careta_exagerada, elemento_grafico"
624,20.8,1,sad,sentado,2,"careta_exagerada, elemento_grafico"
626,20.866666666666667,1,sad,,1,elemento_grafico
628,20.933333333333334,1,sad,,1,elemento_grafico
630,21.0,1,neutral,gesticulando,1,elemento_grafico
632,21.066666666666666,1,sad,"em_pe, gesticulando",1,elemento_grafico
634,21.133333333333333,1,happy,"em_pe, gesticulando",1,elemento_grafico
636,21.2,1,neutral,caminhando,1,elemento_grafico
638,21.266666666666666,1,neutral,,1,elemento_grafico
640,21.333333333333332,1,neutral,,2,"careta_exagerada, elemento_grafico"
642,21.4,1,neutral,gesticulando,1,elemento_grafico
644,21.466666666666665,1,neutral,caminhando,1,elemento_grafico
646,21.533333333333335,1,sad,caminhando,1,elemento_grafico
648,21.6,1,happy,em_pe,1,elemento_grafico
650,21.666666666666668,1,sad,em_pe,1,elemento_grafico
652,21.733333333333334,1,sad,"caminhando, gesticulando",2,"careta_exagerada, elemento_grafico"
654,21.8,1,neutral,caminhando,1,elemento_grafico
656,21.866666666666667,1,neutral,"caminhando, gesticulando",1,elemento_grafico
658,21.933333333333334,1,sad,caminhando,2,"careta_exagerada, elemento_grafico"
660,22.0,1,sad,"caminhando, gesticulando",2,"careta_exagerada, elemento_grafico"
662,22.066666666666666,1,sad,gesticulando,1,elemento_grafico
664,22.133333333333333,1,angry,sentado,1,elemento_grafico
666,22.2,1,sad,"dancando, gesticulando",1,elemento_grafico
668,22.266666666666666,1,angry,"caminhando, dancando",1,elemento_grafico
670,22.333333333333332,1,angry,"caminhando, gesticulando",1,elemento_grafico
672,22.4,1,angry,caminhando,1,elemento_grafico
674,22.466666666666665,1,fear,caminhando,1,elemento_grafico
676,22.533333333333335,1,sad,caminhando,2,"careta_exagerada, elemento_grafico"
678,22.6,1,sad,"caminhando, gesticulando",1,elemento_grafico
680,22.666666666666668,0,,caminhando,1,elemento_grafico
682,22.733333333333334,0,,caminhando,1,elemento_grafico
684,22.8,0,,"caminhando, gesticulando",1,elemento_grafico
686,22.866666666666667,0,,em_pe,1,elemento_grafico
688,22.933333333333334,0,,em_pe,1,elemento_grafico
690,23.0,0,,"em_pe, dancando",1,elemento_grafico
692,23.066666666666666,0,,"em_pe, dancando",1,elemento_grafico
694,23.133333333333333,0,,"em_pe, gesticulando",1,elemento_grafico
696,23.2,0,,caminhando,1,elemento_grafico
698,23.266666666666666,0,,"em_pe, gesticulando",1,elemento_grafico
700,23.333333333333332,0,,caminhando,1,elemento_grafico
702,23.4,0,,"caminhando, gesticulando",1,elemento_grafico
704,23.466666666666665,0,,caminhando,1,elemento_grafico
706,23.533333333333335,0,,"caminhando, gesticulando",1,elemento_grafico
708,23.6,1,neutral,"caminhando, gesticulando",1,elemento_grafico
710,23.666666666666668,1,happy,caminhando,1,elemento_grafico
